,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
525912,8,2,1620,1405,1745,1530,85,85,56,135,135,SFO,LAX,337,11,18,0,0,0,0,0,135
525943,8,2,1320,1245,1449,1405,149,140,115,44,35,DFW,EGE,720,5,29,0,4,0,9,0,31
526039,8,2,2027,1735,2334,2045,127,130,105,169,172,LAX,EGE,748,4,18,0,82,0,0,0,87
526069,8,2,1834,1740,2120,2030,166,170,142,50,54,ORD,AUS,978,5,19,0,0,0,7,0,43
526100,8,2,1626,1530,1751,1655,145,145,117,56,56,PHL,ORD,678,6,22,0,0,0,54,0,2
526131,8,2,908,830,1503,1425,235,235,211,38,38,SNA,ORD,1726,9,15,0,0,0,38,0,0
526162,8,2,1418,1305,1729,1605,131,120,106,84,73,ORD,PHL,678,7,18,0,40,0,11,0,33
526224,8,2,738,600,1036,825,178,145,140,131,98,ORD,DFW,802,7,31,0,98,0,33,0,0
526286,8,2,815,735,1123,1005,188,150,144,78,40,ORD,DFW,802,5,39,0,40,0,38,0,0
526397,8,2,2057,1735,22,2110,145,155,124,192,202,DFW,DTW,987,8,13,0,0,0,0,0,192
526489,8,2,1652,1530,2027,1910,155,160,129,77,82,HDN,ORD,1009,9,17,0,0,0,61,0,16
526555,8,2,1157,1150,1442,1420,165,150,141,22,7,ORD,DFW,802,5,19,0,7,0,15,0,0
526617,8,2,1339,1300,1614,1530,155,150,135,44,39,ORD,DFW,802,7,13,0,0,0,8,0,36
526710,8,2,1355,1345,1655,1620,180,155,142,35,10,ORD,DFW,802,7,31,0,0,0,25,0,10
526741,8,2,2108,1805,2331,2020,263,255,249,191,183,ORD,PSP,1652,5,9,0,0,0,14,0,177
526772,8,2,1118,915,1331,1130,133,135,107,121,123,DFW,ORD,802,6,20,0,0,0,2,0,119
526803,8,2,1510,1500,1758,1735,168,155,136,23,10,ORD,DFW,802,10,22,0,0,0,23,0,0
526834,8,2,1050,1000,1256,1215,126,135,103,41,50,DFW,ORD,802,8,15,0,0,0,41,0,0
526865,8,2,1626,1540,1907,1815,161,155,127,52,46,ORD,DFW,802,18,16,0,33,0,6,0,13
526896,8,2,1209,1055,1429,1315,140,140,107,74,74,DFW,ORD,802,6,27,0,0,0,6,0,68
526926,8,2,1506,1400,1828,1715,142,135,102,73,66,ORD,BOS,867,4,36,0,0,0,9,0,64
526953,8,2,1712,1630,1949,1905,157,155,124,44,42,ORD,DFW,802,9,24,0,0,0,2,0,42
526981,8,2,1440,1410,1724,1705,104,115,87,19,30,GUC,DFW,678,6,11,0,0,0,0,0,19
527012,8,2,1241,1155,1508,1415,147,140,108,53,46,DFW,ORD,802,9,30,0,0,0,29,0,24
527074,8,2,1320,1235,1548,1500,148,145,114,48,45,DFW,ORD,802,7,27,0,0,0,37,0,11
527132,8,2,1412,1330,1737,1555,205,145,112,102,42,DFW,ORD,802,5,88,0,0,0,93,0,9
527163,8,2,1820,1640,2129,1959,129,139,105,90,100,ORD,JFK,740,13,11,0,51,0,0,0,39
527194,8,2,2154,1920,12,2150,138,150,111,142,154,ORD,DFW,802,4,23,0,22,0,0,0,120
527225,8,2,1808,1650,2055,1825,227,155,109,150,78,PHL,ORD,678,10,108,0,0,0,72,0,78
527256,8,2,1736,1510,2004,1729,148,139,109,155,146,DFW,ORD,802,6,33,0,0,0,143,0,12
527287,8,2,2242,2015,53,2245,131,150,110,128,147,ORD,DFW,802,4,17,0,0,0,0,0,128
527318,8,2,1814,1615,2129,1840,195,145,117,169,119,DFW,ORD,802,7,71,0,0,0,169,0,0
527349,8,2,2205,1935,2325,2105,80,90,59,140,150,ORD,MSP,334,2,19,0,0,0,1,0,139
527407,8,2,1321,1250,1457,1440,156,170,140,17,31,ORD,HDN,1009,4,12,0,0,0,0,0,17
527438,8,2,1856,1710,2224,1935,208,145,114,169,106,DFW,ORD,802,9,85,0,0,0,144,0,25
527468,8,2,2301,2020,152,2310,111,110,86,162,161,ORD,RDU,647,4,21,0,0,0,3,0,159
527495,8,2,2037,1825,2301,2045,144,140,111,136,132,DFW,ORD,802,6,27,0,0,0,123,0,13
527523,8,2,630,610,945,930,135,140,118,15,20,FLL,SJU,1046,4,13,0,0,0,0,15,0
527584,8,2,2031,1905,2300,2125,149,140,112,95,86,DFW,ORD,802,12,25,0,0,0,53,0,42
527614,8,2,2054,1955,2308,2210,134,135,115,58,59,DFW,ORD,802,5,14,0,0,0,58,0,0
527728,8,2,1230,1130,1600,1510,150,160,130,50,60,EGE,ORD,1007,4,16,0,0,0,50,0,0
527759,8,2,1913,1605,2316,2005,183,180,158,191,188,ORD,MIA,1197,7,18,0,188,0,3,0,0
528053,8,2,2252,2135,241,110,169,155,148,91,77,DFW,BWI,1217,8,13,0,77,0,14,0,0
528174,8,2,1336,1155,1543,1325,127,90,75,138,101,LAX,SFO,337,4,48,0,0,0,138,0,0
528298,8,2,1128,1045,1251,1205,203,200,175,46,43,DFW,LAX,1235,10,18,0,43,0,3,0,0
528418,8,2,1309,1220,1556,1510,227,230,205,46,49,ORD,PHX,1440,5,17,0,28,0,0,0,18
529314,8,2,1159,1140,1513,1415,194,155,123,58,19,AUS,ORD,978,5,66,0,0,0,39,0,19
529376,8,2,1752,1725,2048,2020,236,235,210,28,27,ORD,PHX,1440,6,20,0,0,0,2,0,26
529407,8,2,2340,2135,210,20,150,165,132,110,125,ORD,AUS,978,5,13,0,0,0,0,0,110
477611,9,3,1543,1500,2347,2315,304,315,285,32,43,LAX,JFK,2475,6,13,0,27,0,0,0,5
477794,9,3,1353,1330,2205,2150,312,320,290,15,23,LAX,JFK,2475,7,15,0,13,0,0,0,2
478321,9,3,1017,920,1844,1740,327,320,277,64,57,LAX,EWR,2454,5,45,0,0,0,64,0,0
478414,9,3,2011,1845,2307,2200,356,375,336,67,86,EWR,LAX,2454,7,13,0,21,0,0,0,46
478538,9,3,1229,1140,1533,1415,364,335,323,78,49,IAD,LAX,2288,7,34,0,49,0,29,0,0
478600,9,3,1645,1630,2037,1955,412,385,364,42,15,BOS,LAX,2611,8,40,0,15,0,27,0,0
478817,9,3,1549,1520,2349,2330,300,310,279,19,29,LAX,EWR,2454,5,16,0,19,0,0,0,0
478879,9,3,1500,1330,2319,2153,319,323,289,86,90,SFO,JFK,2586,18,12,0,0,0,2,0,84
479426,9,3,48,2355,742,655,294,300,272,47,53,KOA,LAX,2504,13,9,0,0,0,0,0,47
479457,9,3,2010,1845,2334,2225,324,340,280,69,85,LAX,KOA,2504,3,41,0,69,0,0,0,0
479674,9,3,20,2320,758,705,278,285,252,53,60,LAX,FLL,2342,5,21,0,0,0,53,0,0
479736,9,3,2125,2025,49,20,324,355,303,29,60,LAX,HNL,2556,3,18,0,0,0,0,0,29
479767,9,3,1719,1610,2014,1855,355,345,327,79,69,MIA,LAX,2342,14,14,0,69,0,10,0,0
479922,9,3,2336,2315,717,700,281,285,259,17,21,LAX,MIA,2342,6,16,0,17,0,0,0,0
480046,9,3,1731,1555,35,2320,304,325,284,75,96,HNL,LAX,2556,6,14,0,73,0,0,0,2
480170,9,3,1633,1555,1844,1820,191,205,171,24,38,MIA,ORD,1197,6,14,0,24,0,0,0,0
480232,9,3,1423,1340,1636,1600,313,320,296,36,43,MCO,LAX,2217,5,12,0,3,0,0,0,33
480431,9,3,2319,2250,10,2335,171,165,149,35,29,DFW,LAS,1055,10,12,0,29,0,6,0,0
480613,9,3,818,755,945,930,147,155,116,15,23,LGA,ORD,733,15,16,0,15,0,0,0,0
481283,9,3,1259,1245,1446,1430,167,165,128,16,14,LGA,ORD,733,9,30,0,14,0,2,0,0
481431,9,3,2222,2135,103,30,101,115,83,33,47,ORD,LGA,733,7,11,0,33,0,0,0,0
481488,9,3,1544,1535,1739,1715,175,160,124,24,9,LGA,ORD,733,12,39,0,0,0,15,0,9
481516,9,3,1700,1629,1843,1814,163,165,129,29,31,LGA,ORD,733,9,25,0,0,0,0,0,29
481612,9,3,1801,1715,1939,1859,158,164,126,40,46,LGA,ORD,733,16,16,0,0,0,3,0,37
481698,9,3,1856,1815,2033,1959,157,164,128,34,41,LGA,ORD,733,14,15,0,6,0,0,0,28
481818,9,3,1904,1850,2035,2020,211,210,193,15,14,DFW,FAT,1313,3,15,0,14,0,1,0,0
481880,9,3,1825,1815,2233,2125,188,130,95,68,10,ORD,LGA,733,9,84,0,0,0,68,0,0
482213,9,3,1706,1630,2053,1940,167,130,96,73,36,ORD,LGA,733,8,63,0,0,0,73,0,0
482305,9,3,1627,1600,1946,1915,139,135,96,31,27,ORD,LGA,733,5,38,0,0,0,31,0,0
482395,9,3,1552,1530,1913,1845,141,135,90,28,22,ORD,LGA,733,5,46,0,0,0,28,0,0
482456,9,3,2117,2000,2236,2130,139,150,122,66,77,LGA,ORD,733,6,11,0,44,0,0,0,22
482511,9,3,1458,1415,1821,1730,143,135,94,51,43,ORD,LGA,733,6,43,0,0,0,51,0,0
482573,9,3,1410,1325,1717,1630,127,125,90,47,45,ORD,LGA,733,4,33,0,0,0,47,0,0
482634,9,3,1315,1240,1620,1545,125,125,100,35,35,ORD,LGA,733,5,20,0,0,0,35,0,0
482725,9,3,1857,1845,2102,2045,125,120,93,17,12,MIA,ATL,595,8,24,0,0,0,5,0,12
482871,9,3,1207,1145,1521,1450,134,125,100,31,22,ORD,LGA,733,5,29,0,0,0,31,0,0
482930,9,3,1057,1040,1407,1345,130,125,101,22,17,ORD,LGA,733,3,26,0,0,0,22,0,0
483263,9,3,1823,1710,1929,1800,126,110,93,89,73,DFW,ABQ,569,6,27,0,73,0,16,0,0
483405,9,3,1021,1000,1225,1210,184,190,164,15,21,MIA,DFW,1121,6,14,0,14,0,0,0,1
483495,9,3,1601,1545,1745,1730,224,225,205,15,16,DFW,SFO,1464,6,13,0,15,0,0,0,0
483526,9,3,1656,1640,1909,1850,193,190,164,19,16,MIA,DFW,1121,11,18,0,16,0,3,0,0
484270,9,3,1450,1420,1600,1535,130,135,115,25,30,RDU,ORD,647,6,9,0,25,0,0,0,0
484444,9,3,1532,1515,2024,2005,232,230,213,19,17,BOS,SJU,1674,4,15,0,14,0,2,0,3
484816,9,3,1018,1010,1310,1255,292,285,273,15,8,ORD,SFO,1846,3,16,0,8,0,7,0,0
484909,9,3,1840,1815,2129,2105,109,110,88,24,25,ORD,RDU,647,5,16,0,0,0,0,0,24
485181,9,3,1859,1850,2057,2040,238,230,214,17,9,DFW,SFO,1464,6,18,0,0,0,17,0,0
486417,9,3,1149,1100,1308,1215,139,135,118,53,49,DCA,STL,719,6,15,0,49,0,4,0,0
486445,9,3,1612,1540,1752,1710,100,90,71,42,32,DFW,MFE,468,3,26,0,5,0,10,0,27
486476,9,3,1347,1255,1532,1450,105,115,87,42,52,STL,DFW,551,7,11,0,3,0,0,0,39
486569,9,3,2027,1945,2348,2310,201,205,171,38,42,BOS,MIA,1258,19,11,0,5,0,0,0,33
486720,9,3,1917,1850,2005,1935,108,105,89,30,27,DFW,ELP,551,6,13,0,27,0,3,0,0
486990,9,3,639,625,945,925,126,120,108,20,14,DFW,ATL,732,5,13,0,14,0,6,0,0
487018,9,3,1258,1015,1822,1545,204,210,172,157,163,LAS,ORD,1515,6,26,0,157,0,0,0,0
487169,9,3,1954,1915,2238,2215,164,180,145,23,39,LGA,TPA,1011,4,15,0,0,0,0,0,23
487673,9,3,1759,1710,2030,1935,211,205,182,55,49,FLL,ORD,1182,15,14,0,12,0,6,0,37
487892,9,3,927,850,1411,1345,164,175,139,26,37,SAN,DFW,1171,12,13,0,26,0,0,0,0
488151,9,3,2243,2110,121,2359,158,169,139,82,93,MIA,JFK,1090,6,13,0,82,0,0,0,0
488271,9,3,1734,1700,2132,2000,238,180,160,92,34,MIA,LGA,1097,5,73,0,0,0,92,0,0
488472,9,3,2013,1855,2330,2220,137,145,119,70,78,FLL,SJU,1046,5,13,0,70,0,0,0,0
488685,9,3,1221,1145,1715,1700,174,195,151,15,36,RNO,DFW,1345,11,12,0,0,0,0,0,15
488747,9,3,1213,1200,1334,1315,201,195,169,19,13,DFW,SNA,1205,11,21,0,13,0,6,0,0
488878,9,3,1447,1355,1740,1650,173,175,146,50,52,FLL,LGA,1076,4,23,0,0,0,6,0,44
489060,9,3,1345,1305,1646,1615,181,190,157,31,40,LGA,MIA,1097,2,22,0,9,0,0,0,22
489091,9,3,1738,1705,1842,1810,124,125,110,32,33,MIA,MSY,674,3,11,0,16,0,0,0,16
489361,9,3,818,800,1124,1055,246,235,222,29,18,SJU,JFK,1597,10,14,0,0,0,11,18,0
489392,9,3,1417,1410,1837,1740,260,210,180,57,7,BOS,MIA,1258,58,22,0,1,0,50,0,6
489655,9,3,1437,1200,1614,1350,157,170,138,144,157,TPA,DFW,929,5,14,0,144,0,0,0,0
489810,9,3,710,640,1205,1150,175,190,156,15,30,FAT,DFW,1313,10,9,0,15,0,0,0,0
490116,9,3,1855,1825,2218,2145,143,140,123,33,30,LAX,DEN,862,5,15,0,0,0,3,0,30
490147,9,3,1655,1615,1821,1735,86,80,56,46,40,SFO,LAX,337,9,21,0,0,0,6,0,40
490457,9,3,1328,1255,1652,1555,204,180,152,57,33,MIA,EWR,1086,9,43,0,0,0,57,0,0
490519,9,3,1042,945,1401,1310,199,205,167,51,57,LGA,FLL,1076,4,28,0,0,0,0,0,51
490597,9,3,1014,945,1137,1045,203,180,173,52,29,DFW,PSP,1126,8,22,0,29,0,23,0,0
490721,9,3,1126,1020,1217,1125,111,125,93,52,66,DFW,DEN,641,6,12,0,52,0,0,0,0
490868,9,3,1250,1230,1400,1335,130,125,93,25,20,DFW,DEN,641,7,30,0,20,0,5,0,0
491348,9,3,1310,1230,1707,1630,177,180,156,37,40,ORD,FLL,1182,5,16,0,37,0,0,0,0
491410,9,3,1412,1325,1828,1745,196,200,170,43,47,DFW,LGA,1389,7,19,0,0,0,43,0,0
491472,9,3,1508,1430,1935,1900,207,210,167,35,38,DFW,LGA,1389,13,27,0,0,0,35,0,0
491556,9,3,1619,1535,2039,2000,200,205,174,39,44,DFW,LGA,1389,4,22,0,0,0,39,0,0
491615,9,3,1640,1610,2147,2029,247,199,184,78,30,DFW,LGA,1389,6,57,0,0,0,78,0,0
491708,9,3,1803,1705,2234,2125,211,200,175,69,58,DFW,LGA,1389,6,30,0,0,0,29,0,40
491739,9,3,1216,1130,1705,1615,169,165,137,50,46,PSP,DFW,1126,12,20,0,0,0,4,0,46
491863,9,3,1828,1750,2247,2210,199,200,170,37,38,DFW,LGA,1389,9,20,0,0,0,37,0,0
491985,9,3,1549,1515,1847,1820,238,245,200,27,34,LGA,DFW,1389,16,22,0,5,0,0,0,22
492129,9,3,1646,1610,1942,1925,236,255,199,17,36,LGA,DFW,1389,19,18,0,2,0,0,0,15
492187,9,3,1447,1435,1758,1735,131,120,86,23,12,DEN,DFW,641,9,36,0,0,7,11,0,5
492217,9,3,1855,1830,2336,2245,221,195,165,51,25,DFW,LGA,1389,31,25,0,0,0,48,0,3
492643,9,3,2019,1950,2349,2330,150,160,129,19,29,ORD,TPA,1012,3,18,0,0,0,0,0,19
492674,9,3,1931,1840,2215,2140,224,240,206,35,51,LGA,DFW,1389,5,13,0,9,0,0,0,26
492824,9,3,2207,2045,48,2335,221,230,203,73,82,LGA,DFW,1389,5,13,0,0,0,0,0,73
493033,9,3,1256,1205,1541,1500,105,115,86,41,51,DEN,DFW,641,8,11,0,0,0,0,0,41
493421,9,3,1818,1710,1936,1835,138,145,118,61,68,DFW,TUS,813,4,16,0,61,0,0,0,0
493473,9,3,2004,1920,2241,2205,277,285,252,36,44,ORD,SJC,1829,3,22,0,36,0,0,0,0
494019,9,3,1520,1440,2015,1945,175,185,155,30,40,LAS,STL,1372,5,15,0,8,0,0,0,22
494253,9,3,2010,1930,2233,2155,143,145,119,38,40,MIA,DCA,920,4,20,0,16,0,0,0,22
494284,9,3,1044,945,1148,1050,64,65,38,58,59,MCO,MIA,193,10,16,0,58,0,0,0,0
494315,9,3,1454,1210,1810,1545,136,155,118,145,164,MIA,SJU,1045,5,13,0,129,0,0,0,16
494377,9,3,1950,1925,2302,2235,132,130,114,27,25,ORD,BOS,867,3,15,0,25,0,2,0,0
494805,9,3,2152,2125,2315,2300,83,95,71,15,27,DFW,STL,551,3,9,0,0,0,0,0,15
494835,9,3,1639,1555,2108,2030,149,155,122,38,44,LAS,DFW,1055,5,22,0,29,0,0,0,9
494894,9,3,1210,1140,1505,1429,175,169,151,36,30,MIA,LGA,1097,6,18,0,0,0,36,0,0
495137,9,3,1411,1355,1602,1545,171,170,136,17,16,SJU,MIA,1045,20,15,0,16,0,1,0,0
495223,9,3,745,715,1130,1055,165,160,130,35,30,DFW,MIA,1121,13,22,0,30,0,5,0,0
495288,9,3,2156,2135,14,2359,138,144,120,15,21,MIA,BWI,946,4,14,0,15,0,0,0,0
495497,9,3,950,930,1148,1130,118,120,101,18,20,MIA,RDU,700,6,11,0,0,0,0,0,18
495862,9,3,1857,1820,2133,2105,336,345,317,28,37,MIA,LAX,2342,3,16,0,26,0,0,0,2
496168,9,3,1434,1420,1820,1750,286,270,247,30,14,BOS,DFW,1562,24,15,0,14,0,16,0,0
496199,9,3,1909,1840,2128,1945,199,125,93,103,29,DFW,DEN,641,86,20,0,29,0,74,0,0
496323,9,3,1245,1210,1601,1525,136,135,114,36,35,STL,LGA,887,6,16,0,0,0,36,0,0
496382,9,3,1930,1850,2200,2105,210,195,189,55,40,ORD,ELP,1236,4,17,0,40,0,15,0,0
496564,9,3,1817,1800,2004,1935,107,95,74,29,17,MFE,DFW,468,17,16,0,0,0,12,0,17
496780,9,3,1740,1640,1840,1745,60,65,44,55,60,DFW,SAT,247,3,13,0,1,0,0,0,54
496811,9,3,1518,1400,1704,1555,166,175,145,69,78,MCO,DFW,984,7,14,0,5,0,0,0,64
497024,9,3,1238,950,1810,1540,212,230,179,150,168,SEA,DFW,1660,13,20,0,150,0,0,0,0
497414,9,3,2001,1855,2311,2215,130,140,111,56,66,STL,LGA,887,9,10,0,0,0,56,0,0
497535,9,3,1331,1250,1430,1355,179,185,160,35,41,DFW,LAS,1055,8,11,0,35,0,0,0,0
497716,9,3,1913,1830,2017,1940,64,70,43,37,43,SAT,DFW,247,10,11,0,0,0,0,0,37
498290,9,3,2326,2310,522,505,236,235,210,17,16,LAX,ORD,1745,6,20,0,8,0,1,0,8
498718,9,3,1700,1605,2030,1929,150,144,109,61,55,STL,LGA,887,10,31,0,0,0,61,0,0
499315,9,3,956,930,1254,1220,178,170,142,34,26,MIA,LGA,1097,4,32,0,0,0,34,0,0
499803,9,3,1751,1720,1947,1925,176,185,147,22,31,DTW,DFW,987,20,9,0,0,0,0,0,22
500066,9,3,730,715,1205,1130,215,195,154,35,15,SLC,ORD,1249,8,53,0,15,0,20,0,0
500275,9,3,1434,1325,1809,1715,155,170,123,54,69,MSP,LGA,1020,6,26,0,0,0,54,0,0
500686,9,3,1336,1315,1513,1455,97,100,80,18,21,DFW,OMA,583,4,13,0,18,0,0,0,0
500895,9,3,711,705,928,910,197,185,169,18,6,FLL,DFW,1119,6,22,0,0,0,18,0,0
501007,9,3,1552,1350,1924,1730,152,160,136,114,122,DFW,RIC,1158,4,12,0,114,0,0,0,0
501150,9,3,1231,1200,1541,1505,130,125,89,36,31,ORD,EWR,719,12,29,0,0,0,36,0,0
501377,9,3,1930,1850,2313,2235,163,165,120,38,40,MSP,LGA,1020,7,36,0,0,0,38,0,0
501555,9,3,1746,1650,1951,1825,125,95,67,86,56,RDU,LGA,431,8,50,0,0,0,86,0,0
501955,9,3,139,2340,647,510,188,210,171,97,119,SEA,DFW,1660,5,12,0,97,0,0,0,0
502168,9,3,1747,1740,2032,2015,165,155,135,17,7,DCA,MIA,920,10,20,0,6,0,10,0,1
502199,9,3,1910,1850,2156,2135,106,105,84,21,20,MSY,MIA,674,8,14,0,0,0,1,0,20
502385,9,3,1630,1555,1902,1830,152,155,126,32,35,MSP,DFW,852,15,11,0,32,0,0,0,0
502416,9,3,1358,1305,1802,1729,184,204,154,33,53,TUS,ORD,1437,15,15,0,0,0,0,0,33
502660,9,3,1630,1525,1821,1720,171,175,148,61,65,MCO,DFW,984,11,12,0,0,0,2,0,59
502990,9,3,839,830,1153,1130,134,120,101,23,9,DFW,ATL,732,13,20,0,9,0,14,0,0
503172,9,3,1717,1705,1946,1930,269,265,253,16,12,DFW,SEA,1660,6,10,0,12,0,4,0,0
503509,9,3,1624,1234,1730,1339,66,65,42,231,230,SAT,DFW,247,12,12,0,230,0,1,0,0
503843,9,3,1529,1500,1921,1829,172,149,112,52,29,DEN,ORD,888,11,49,0,16,0,23,0,13
503961,9,3,1946,1830,2313,2210,147,160,132,63,76,DFW,RIC,1158,6,9,0,38,0,0,0,25
504082,9,3,2035,2015,2232,2215,117,120,95,17,20,MIA,RDU,700,5,17,0,9,0,0,0,8
504297,9,3,2022,1925,2234,2200,132,155,110,34,57,LGA,ATL,761,7,15,0,0,0,0,0,34
504635,9,3,1910,1850,2132,2115,262,265,245,17,20,BNA,LAX,1797,6,11,0,0,0,0,0,17
504697,9,3,950,930,1142,1105,232,215,201,37,20,DFW,RNO,1345,6,25,0,20,0,17,0,0
504914,9,3,1010,920,1214,1145,184,205,161,29,50,IAD,DFW,1172,14,9,0,29,0,0,0,0
505251,9,3,1858,1759,2139,2049,161,170,136,50,59,LGA,MCO,950,9,16,0,50,0,0,0,0
505447,9,3,1956,1820,2157,2045,181,205,161,72,96,RIC,DFW,1158,7,13,0,0,0,0,0,72
506091,9,3,1304,1235,1649,1620,165,165,135,29,29,DFW,IAD,1172,4,26,0,29,0,0,0,0
506120,9,3,2125,2055,23,5,118,130,98,18,30,ORD,BOS,867,3,17,0,18,0,0,0,0
506482,9,3,818,750,1106,1020,168,150,130,46,28,MCO,LGA,950,4,34,0,0,0,46,0,0
506513,9,3,1625,1545,1805,1729,160,164,131,36,40,EWR,ORD,719,8,21,0,4,0,0,0,32
506575,9,3,1100,1025,1653,1635,233,250,207,18,35,LAX,ORD,1745,7,19,0,9,0,0,0,9
506604,9,3,1751,1720,1910,1850,79,90,61,20,31,ORD,MSP,334,4,14,0,0,0,12,0,8
506751,9,3,1617,1545,1925,1850,128,125,93,35,32,DFW,IND,762,8,27,0,32,0,3,0,0
506779,9,3,2203,2110,44,5,161,175,144,39,53,MIA,EWR,1086,4,13,0,18,0,0,0,21
506957,9,3,1650,1620,2020,1935,150,135,98,45,30,ORD,EWR,719,6,46,0,0,0,45,0,0
507328,9,3,1540,1515,1734,1710,114,115,97,24,25,ORD,TUL,585,3,14,0,13,0,0,0,11
507638,9,3,1230,1210,1803,1745,213,215,187,18,20,SEA,STL,1710,9,17,0,0,0,0,0,18
507669,9,3,1925,1905,2107,2050,222,225,203,17,20,DFW,SFO,1464,4,15,0,17,0,0,0,0
508435,9,3,1018,900,1244,1130,146,150,134,74,78,TPA,LGA,1011,4,8,0,48,0,26,0,0
508520,9,3,1244,1230,1439,1420,235,230,214,19,14,DFW,SFO,1464,4,17,0,0,14,5,0,0
509016,9,3,1037,1020,1215,1200,158,160,140,15,17,ORD,DEN,888,7,11,0,15,0,0,0,0
509555,9,3,1505,1445,1737,1650,212,185,180,47,20,SJU,MCO,1189,11,21,0,20,0,27,0,0
509679,9,3,938,840,941,905,63,85,46,36,58,DTW,ORD,235,7,10,0,36,0,0,0,0
509976,9,3,2052,2020,2219,2155,147,155,127,24,32,EWR,ORD,719,5,15,0,0,0,0,0,24
510872,9,3,1610,1455,1924,1755,194,180,162,89,75,MIA,LGA,1097,6,26,0,0,0,89,0,0
510934,9,3,1846,1805,2303,2235,137,150,124,28,41,LAS,DFW,1055,4,9,0,0,0,0,0,28
510996,9,3,1346,1305,1715,1640,149,155,121,35,41,DFW,DTW,987,7,21,0,0,0,0,0,35
511570,9,3,2130,2100,47,30,137,150,115,17,30,MIA,SJU,1045,5,17,0,17,0,0,0,0
511721,9,3,1849,1835,2203,2110,314,275,253,53,14,ORD,SFO,1846,8,53,0,0,0,53,0,0
512157,9,3,2252,2025,59,2240,247,255,233,139,147,DFW,SEA,1660,5,9,0,139,0,0,0,0
512366,9,3,1920,1855,2040,1950,200,175,159,50,25,DFW,LAS,1055,13,28,0,0,0,25,0,25
512490,9,3,924,855,1142,1115,258,260,233,27,29,STL,SEA,1710,5,20,0,0,27,0,0,0
512521,9,3,922,800,1440,1345,198,225,187,55,82,PSP,ORD,1652,3,8,0,55,0,0,0,0
512910,9,3,1240,1215,1608,1505,208,170,150,63,25,PBI,LGA,1035,9,49,0,0,0,63,0,0
513274,9,3,1002,940,1325,1220,263,220,231,65,22,ORD,TUS,1437,6,26,0,0,0,43,0,22
513305,9,3,1233,1110,1548,1435,135,145,123,73,83,DFW,MCO,984,4,8,0,73,0,0,0,0
513878,9,3,851,805,1044,1010,113,125,95,34,46,BNA,DFW,631,8,10,0,34,0,0,0,0
513909,9,3,1122,1055,1223,1205,181,190,165,18,27,DFW,SAN,1171,4,12,0,2,0,0,0,16
514155,9,3,1620,1555,1702,1640,102,105,83,22,25,DFW,ELP,551,4,15,0,0,0,0,0,22
514245,9,3,1917,1740,2156,2045,219,245,204,71,97,SJU,JFK,1597,4,11,0,71,0,0,0,0
514816,9,3,2129,2025,25,2330,176,185,154,55,64,LGA,MIA,1097,6,16,0,0,0,0,0,55
514846,9,3,2110,2015,35,2355,145,160,130,40,55,DFW,IAD,1172,5,10,0,0,0,0,0,40
514874,9,3,1540,1520,1913,1830,213,190,166,43,20,LGA,MIA,1097,7,40,0,0,0,23,0,20
515332,9,3,1646,1615,1801,1735,75,80,54,26,31,LAX,SFO,337,3,18,0,0,0,26,0,0
515626,9,3,2129,2110,2304,2245,155,155,141,19,19,SJU,MIA,1045,6,8,0,0,0,0,0,19
515812,9,3,2136,2050,49,2345,253,235,223,64,46,SJU,JFK,1597,11,19,0,6,0,18,0,40
515936,9,3,1537,1510,1822,1750,165,160,126,32,27,BWI,MIA,946,29,10,0,27,0,5,0,0
516293,9,3,1932,1910,2033,2010,61,60,37,23,22,MIA,MCO,193,8,16,0,22,0,1,0,0
516479,9,3,1350,1330,1608,1550,198,200,179,18,20,MIA,ORD,1197,4,15,0,18,0,0,0,0
516870,9,3,1741,1705,2032,1930,231,205,174,62,36,IAD,DFW,1172,12,45,0,12,0,26,0,24
516901,9,3,1111,955,1432,1320,141,145,122,72,76,DFW,MCO,984,4,15,0,69,0,0,0,3
517327,9,3,1709,1615,1759,1710,170,175,149,49,54,DFW,LAS,1055,6,15,0,0,0,0,0,49
517446,9,3,1901,1805,2229,2140,148,155,131,49,56,DFW,PBI,1103,4,13,0,0,0,0,0,49
517621,9,3,1013,925,1243,1205,90,100,70,38,48,ABQ,DFW,569,11,9,0,38,0,0,0,0
517772,9,3,2104,2015,4,2330,360,375,341,34,49,MIA,SFO,2585,3,16,0,34,0,0,0,0
517803,9,3,1400,1310,1636,1605,156,175,141,31,50,MIA,LGA,1097,2,13,0,17,0,0,0,14
517920,9,3,1554,1530,1824,1755,330,325,305,29,24,MIA,LAS,2175,9,16,0,24,0,5,0,0
518013,9,3,1959,1905,2320,2240,141,155,128,40,54,DFW,MIA,1121,3,10,0,0,0,24,0,16
518075,9,3,2013,1840,2317,2150,184,190,157,87,93,LGA,MIA,1097,5,22,0,8,0,0,0,79
518703,9,3,1758,1725,2121,2050,143,145,122,31,33,DFW,MCO,984,3,18,0,2,0,0,0,29
518948,9,3,1603,1445,1824,1659,141,134,107,85,78,ATL,LGA,761,4,30,0,0,0,85,0,0
